experiment,model,backend,mean_latency_ms,median_latency_ms,p95_latency_ms,benchmark_fps,detector_mean_ms,tracker_mean_ms,reid_mean_ms,gallery_mean_ms,rss_mean_mb,rss_peak_mb,gallery_size,processed_frames_total,warmup_frames,measured_frames,video_sha256,run_directory
resnet50_selected_torch,resnet50_selected,torch,883.9798954929363,871.6635960154235,2106.2596291303635,1.131247447027477,100.60909847513389,26.224588197652086,753.2445253048064,0.23260971518823179,1247.466596177945,1351.48046875,28,1227,30,1197,f86d05e023982b8c76c2e852e9419b53ef1c67fc6ab3b89af160176e5e66197b,exp/qualification_runtime/resnet50_selected_torch/20260825T204032Z
resnet50_selected_onnx,resnet50_selected,onnx,222.52918323214067,231.47025611251593,350.652021355927,4.4937926139638416,113.39208643195673,27.89512738926257,77.00305857322954,0.25510842427175645,1146.4758771929824,1187.74609375,28,1227,30,1197,f86d05e023982b8c76c2e852e9419b53ef1c67fc6ab3b89af160176e5e66197b,exp/qualification_runtime/resnet50_selected_onnx/20260825T210132Z
osnet_x0_25_torch,osnet_x0_25,torch,177.51356286020854,187.69732816144824,252.24350625649095,5.633372368214463,100.70103019399689,26.18960087221044,46.78120683262447,0.1355454651677768,1539.6096328059732,1590.7265625,5,1227,30,1197,f86d05e023982b8c76c2e852e9419b53ef1c67fc6ab3b89af160176e5e66197b,exp/qualification_runtime/osnet_x0_25_torch/20260825T211257Z
osnet_x0_25_onnx,osnet_x0_25,onnx,154.61163278070023,156.01275768131018,211.28263184800744,6.467818637025787,113.68835936810078,25.58225734858037,11.117819703278212,0.15238558938890173,1094.8064464546783,1155.25390625,5,1227,30,1197,f86d05e023982b8c76c2e852e9419b53ef1c67fc6ab3b89af160176e5e66197b,exp/qualification_runtime/osnet_x0_25_onnx/20260825T211946Z
osnet_x0_5_torch,osnet_x0_5,torch,192.20164101788697,206.45107328891754,272.1991017460823,5.202869209149657,100.2664194561373,25.720707916576064,62.31622362265063,0.14841002034787446,1606.472277699457,1663.92578125,7,1227,30,1197,f86d05e023982b8c76c2e852e9419b53ef1c67fc6ab3b89af160176e5e66197b,exp/qualification_runtime/osnet_x0_5_torch/20260825T212357Z
osnet_x0_5_onnx,osnet_x0_5,onnx,173.05744011593094,179.53660432249308,256.2655182555318,5.778428245154333,115.52014713678992,27.167465231235862,25.853221675843223,0.19728384504317242,1094.850766238513,1136.34375,7,1227,30,1197,f86d05e023982b8c76c2e852e9419b53ef1c67fc6ab3b89af160176e5e66197b,exp/qualification_runtime/osnet_x0_5_onnx/20260825T212837Z
